age,income,past_purchase,product_price,discount,revenue
56,52772.54,6.91,84.83,14.51,4312.75
35,37124.63,8.22,77.39,12.2,3038.34
57,60504.65,7.63,112.45,11.16,4907.11
18,41365.43,8.28,112.59,12.97,3366.2
28,51830.15,6.48,83.91,10.88,4225.13
45,88401.27,5.15,117.91,8.8,7115.27
42,48559.1,1.8,87.37,8.28,3904.41
67,67239.1,4.51,105.06,9.06,5377.48
40,39452.35,3.31,116.41,7.67,3175.77
48,49475.17,9.34,99.33,10.57,4006.99
47,76562.01,4.65,109.09,12.21,6157.5
59,40595.49,5.25,89.67,9.97,3303.72
52,77186.73,6.1,96.07,9.53,6233.47
24,60616.28,5.09,95.88,12.17,4906.05
33,41563.0,8.39,85.07,10.97,3383.57
43,59486.12,3.75,96.46,6.93,4792.2
65,64588.32,5.39,69.03,7.78,5200.7
69,59327.15,3.52,90.18,3.98,4698.27
66,26446.63,2.36,94.3,6.64,2128.91
19,39092.94,3.78,94.88,4.96,3154.08
18,46287.22,4.93,95.17,7.33,3770.88
65,48883.5,4.14,98.76,3.68,3890.81
29,59310.08,3.62,109.59,8.63,4708.7
22,52665.52,2.19,117.49,7.37,4232.18
54,29969.83,4.83,87.0,7.49,2431.47
49,55702.97,1.99,75.94,4.71,4425.19
26,59158.79,6.52,79.16,8.87,4775.15
58,58396.86,5.16,90.26,10.07,4762.31
52,66211.71,2.08,92.96,5.99,5291.59
36,62508.83,4.38,84.6,9.93,5056.8
65,56887.7,3.5,74.08,5.78,4548.59
33,48947.51,5.64,90.88,10.35,3926.39
20,25085.59,7.68,103.63,13.9,2085.51
37,56444.27,1.25,111.9,7.76,4511.42
41,53115.32,5.23,88.85,8.72,4282.08
50,54073.68,4.68,91.74,9.38,4356.66
41,30848.77,6.34,81.47,9.29,2526.85
69,33784.15,5.43,99.37,8.3,2723.73
28,65797.29,3.5,83.03,8.28,5272.4
66,49406.67,4.36,111.46,7.66,3973.7
25,60222.51,3.41,64.28,9.21,4821.91
53,50424.78,7.15,92.81,8.66,4041.82
55,50446.34,5.04,106.02,6.87,4072.12
57,64074.26,8.8,103.68,9.48,5195.33
37,42259.33,4.88,153.86,5.86,3391.55
52,51441.81,3.58,107.0,5.42,4094.25
65,43065.87,1.97,79.92,6.24,3429.13
42,43482.56,1.39,98.09,4.37,3467.19
52,45362.42,1.83,64.48,7.29,3608.27
42,53332.01,5.53,98.39,9.84,4295.05
46,42818.77,6.02,83.34,5.78,3476.03
35,68836.34,1.84,118.31,8.8,5543.55
63,36580.89,6.79,89.01,11.26,2967.98
35,47196.93,4.03,97.66,6.61,3816.17
19,43404.03,5.29,87.29,10.81,3493.13
52,71704.67,8.22,134.78,10.46,5800.3
33,52948.32,6.79,93.58,11.23,4283.25
58,65477.67,4.46,136.65,6.27,5248.87
53,27716.59,3.22,116.28,3.23,2206.42
50,54005.75,0.7,109.64,4.91,4329.28
21,63344.46,3.56,107.37,8.87,5082.47
50,51234.26,4.58,107.88,7.9,4134.26
31,65982.21,3.03,61.45,6.1,5301.56
38,42240.67,4.74,94.42,8.12,3411.01
65,71140.21,5.15,116.9,9.85,5710.74
37,84483.47,4.55,99.02,9.97,6779.88
25,44557.42,3.7,71.9,8.91,3606.58
24,43317.46,5.34,98.95,8.51,3510.68
20,71800.77,5.88,134.08,13.6,5806.55
34,73693.58,2.82,124.94,6.09,5903.53
50,42157.1,7.82,98.76,12.0,3452.47
65,43697.2,4.8,119.03,10.57,3536.16
29,45773.23,5.04,92.67,10.5,3690.33
68,29833.24,6.42,65.92,8.58,2447.34
39,36220.22,5.47,81.51,8.23,2918.37
39,34937.89,6.91,131.26,12.48,2860.59
63,38483.04,5.57,94.52,5.88,3113.41
47,49479.73,3.78,95.13,6.15,3936.78
55,53513.22,5.72,94.0,8.74,4319.22
55,73257.51,2.71,138.08,10.19,5854.59
62,35024.69,5.22,132.52,9.12,2805.15
68,64764.84,4.93,144.38,6.91,5211.1
25,46790.17,4.58,96.82,8.7,3771.36
44,49258.04,4.74,105.91,7.72,3951.86
44,60122.29,1.24,69.67,5.05,4813.45
51,33159.17,3.9,129.54,9.54,2681.94
38,55736.15,5.19,76.64,6.94,4496.36
47,52496.78,5.32,104.34,12.64,4268.74
50,57386.77,2.94,78.05,9.23,4624.4
45,54337.53,7.53,88.22,13.49,4375.18
64,86829.5,3.27,83.25,7.37,6947.05
50,40433.9,6.94,87.84,9.96,3277.53
22,42035.05,5.85,89.22,7.42,3423.72
65,40652.89,3.71,89.03,6.19,3208.74
36,41667.84,8.55,116.67,13.0,3458.81
21,40439.19,2.61,77.9,10.27,3283.58
52,67835.25,6.84,104.41,8.73,5473.37
66,71307.56,7.0,124.36,10.03,5764.03
34,41438.81,3.66,89.74,7.85,3390.87
61,37514.67,7.78,85.64,7.73,3067.87
45,57071.23,4.5,95.39,10.14,4619.99
47,41716.65,5.58,123.59,7.86,3367.55
46,59493.98,5.52,103.88,9.43,4794.98
63,53043.85,4.73,89.38,7.58,4256.28
23,27263.84,6.62,109.68,8.85,2219.69
52,73212.58,6.59,77.95,10.89,5899.25
58,76938.17,1.5,113.63,6.34,6116.0
54,40808.17,7.61,108.17,9.95,3314.4
41,44184.48,1.68,93.84,4.98,3500.75
46,54287.98,7.07,83.23,11.54,4410.03
66,55016.85,7.25,82.27,13.78,4462.31
63,59878.16,2.82,110.7,7.44,4793.35
48,80153.07,4.18,124.58,11.3,6427.75
52,47345.79,2.79,87.25,4.31,3852.27
50,38025.54,4.57,109.17,8.61,3093.89
69,29310.21,4.38,58.26,5.12,2338.38
38,39036.05,6.56,88.31,7.32,3176.5
49,49503.1,7.62,99.38,9.63,4003.64
40,76918.37,7.79,81.81,14.72,6215.14
50,42235.83,3.88,81.27,9.77,3382.99
20,53356.82,4.58,86.64,10.15,4328.3
35,49753.66,1.63,105.84,3.68,3961.53
42,67825.9,3.39,96.25,8.09,5466.94
59,87903.99,6.93,55.24,12.01,7117.6
48,42036.97,8.23,57.59,11.76,3470.28
20,42658.41,2.53,87.86,4.02,3411.57
57,65662.41,3.82,109.15,6.53,5271.37
63,60228.37,4.95,45.05,8.75,4871.72
41,77700.61,5.56,90.01,11.62,6258.41
67,58758.92,3.38,89.48,3.07,4681.18
49,44610.62,5.85,127.77,9.22,3632.66
64,58859.82,4.05,92.3,8.37,4731.19
39,66630.55,4.97,107.66,11.51,5385.65
40,62307.23,6.09,102.83,11.93,5021.82
19,57609.11,5.01,57.39,11.33,4651.73
44,66000.12,4.13,115.36,7.36,5287.11
59,67539.43,4.78,104.31,5.26,5413.92
19,70732.38,4.82,110.17,9.62,5682.22
43,59730.65,4.26,178.52,10.91,4790.02
34,47493.23,4.48,58.32,11.78,3822.39
57,52200.71,8.2,134.49,12.83,4208.89
50,68097.63,6.12,94.25,11.3,5510.83
26,37745.96,4.41,105.75,9.64,3071.22
60,55530.1,6.39,99.09,8.87,4472.6
65,44099.92,4.33,91.52,7.58,3525.08
56,50431.17,7.35,88.6,14.05,4080.28
46,69176.78,5.74,106.59,8.4,5562.82
59,52866.49,4.79,69.66,11.87,4285.72
43,50696.55,5.9,115.01,9.3,4113.36
52,29602.16,1.86,91.68,8.47,2365.0
67,61193.8,2.75,77.4,4.21,4870.31
42,59682.26,2.61,91.0,8.79,4798.91
41,82448.82,5.29,125.14,9.0,6610.68
30,45383.33,8.47,89.29,9.4,3694.44
24,53287.25,9.46,107.17,13.89,4382.69
53,53740.76,6.28,85.38,12.06,4370.08
62,73661.8,6.0,115.16,8.46,5923.95
37,48570.57,1.4,113.71,3.47,3849.18
18,54185.32,3.91,136.97,9.03,4367.38
25,59118.45,3.42,96.49,8.59,4782.44
63,52799.14,3.76,113.37,8.8,4227.36
33,43303.5,4.66,101.96,10.94,3534.34
31,52911.35,4.06,125.92,8.78,4284.28
29,66104.48,1.04,85.62,10.66,5341.75
68,34602.27,6.5,114.9,9.64,2806.71
40,51994.55,2.85,96.11,6.95,4186.17
32,39498.19,5.48,98.72,6.38,3225.51
45,67925.7,9.15,101.84,12.48,5520.58
51,27152.2,3.16,105.04,6.14,2168.85
19,41616.17,0.0,97.68,7.6,3324.32
49,55658.18,4.43,104.29,9.67,4486.06
40,73482.86,7.2,131.56,9.41,5899.19
39,49013.75,8.92,119.71,12.78,3992.49
68,41672.01,2.54,117.38,7.59,3349.56
42,78217.36,5.99,90.89,13.94,6275.06
39,28279.79,4.07,82.22,9.71,2330.59
39,17017.91,4.79,119.11,9.69,1416.03
66,56600.22,10.29,117.52,13.07,4592.08
69,42469.19,1.99,129.45,6.58,3390.75
59,34681.51,5.51,87.92,11.18,2816.29
23,60625.35,5.94,95.41,8.21,4926.62
32,53657.01,7.17,67.21,10.69,4385.49
60,41538.82,5.2,92.15,7.06,3320.2
54,30795.43,5.62,119.93,9.56,2505.99
50,63086.86,4.22,90.67,11.23,5078.05
25,59753.02,5.54,112.81,9.28,4827.7
61,48512.36,4.31,96.19,3.3,3871.46
61,77699.55,6.24,106.48,9.67,6287.44
22,33948.73,4.26,77.05,10.59,2788.45
56,27117.12,5.75,101.7,9.81,2191.53
21,39621.38,4.94,40.18,10.37,3211.1
23,49316.21,7.25,96.26,11.03,4008.32
62,53650.09,4.9,67.39,6.11,4326.99
49,46381.46,1.45,124.12,7.12,3706.56
69,55280.83,7.52,115.55,8.94,4485.37
47,31226.91,3.19,109.33,11.45,2537.5
64,71656.47,3.69,130.42,9.32,5758.3
52,48767.73,3.81,81.02,6.79,3928.48
57,66759.44,7.75,134.95,10.27,5356.78
69,55140.88,0.73,118.64,4.98,4378.04
33,56851.3,11.28,95.27,14.26,4677.2
30,58546.51,7.11,122.71,13.78,4749.11
67,56715.63,5.45,77.87,9.42,4582.29
59,59640.84,4.89,83.51,7.47,4791.87
47,69937.29,5.57,87.83,13.93,5630.88
36,52947.82,6.04,89.42,10.44,4288.19
34,60635.06,6.29,78.87,12.37,4923.76
36,48653.96,6.11,124.46,9.05,3919.91
45,71601.76,5.18,94.82,10.67,5765.92
43,39854.12,4.61,107.05,9.21,3200.4
54,77014.11,4.7,88.59,5.67,6204.52
43,49397.63,4.61,63.59,12.91,4000.96
40,28538.37,7.27,105.4,13.05,2377.8
26,51921.57,6.19,61.75,9.93,4252.07
29,39784.23,0.0,98.63,3.12,3166.39
18,62609.65,6.31,72.63,12.08,5064.56
18,40210.64,5.39,139.75,10.15,3217.78
64,43307.25,4.96,118.23,9.06,3454.55
51,21656.89,4.22,102.12,7.88,1726.37
49,43215.41,7.25,125.27,11.64,3535.62
65,15000.0,6.9,83.07,11.91,1255.79
42,26241.46,3.45,110.87,8.43,2125.76
57,61406.22,5.81,104.0,7.68,4897.96
62,61787.0,3.06,105.28,10.16,4931.36
18,56381.86,2.24,125.45,11.23,4553.26
33,35495.36,3.75,114.65,14.38,2887.57
56,49284.33,6.72,105.77,7.93,3977.66
22,49945.96,6.91,66.9,11.85,4086.7
39,32624.53,6.03,80.8,5.47,2683.54
46,72550.97,6.45,97.55,12.06,5855.18
20,63160.43,6.03,101.87,10.02,5111.99
29,46685.54,3.72,77.4,12.35,3787.77
43,50403.29,5.86,148.23,8.36,4106.14
33,53125.74,6.6,130.33,7.51,4247.8
68,19373.98,6.51,112.04,7.81,1591.46
54,46292.34,7.38,101.44,6.72,3742.84
39,39770.24,6.42,95.76,11.66,3251.04
46,34975.7,5.7,80.96,5.1,2818.55
31,45783.5,7.14,101.55,11.21,3726.5
45,76965.3,4.95,105.16,5.76,6194.26
22,59612.64,3.24,75.16,8.08,4867.84
64,41432.32,4.67,106.68,11.35,3358.18
66,58588.74,3.51,96.89,8.31,4681.07
47,70990.33,3.65,61.84,6.91,5698.63
63,63869.51,4.71,82.79,8.73,5128.04
69,50894.46,3.42,91.73,7.22,4042.62
22,40295.95,4.38,137.75,10.0,3249.82
29,60473.35,1.21,111.13,4.18,4846.93
33,55902.28,5.43,73.29,11.21,4505.26
43,63427.9,5.0,109.72,4.21,5113.42
43,59527.58,3.37,69.05,6.93,4797.46
65,65743.29,6.32,121.65,9.1,5273.63
38,41971.47,6.88,90.58,11.89,3419.37
56,69760.91,1.78,98.13,6.89,5610.34
53,52963.99,3.47,126.52,4.97,4250.03
50,81128.91,3.46,74.26,6.73,6511.11
47,39662.18,3.12,72.06,7.67,3191.09
54,76039.46,6.66,88.33,10.83,6136.95
40,52968.66,4.61,120.77,7.92,4251.69
27,40228.73,4.47,69.61,8.01,3221.62
22,42741.71,0.99,43.36,7.81,3487.54
53,45194.79,6.27,90.98,8.75,3661.3
51,56362.49,2.52,111.03,7.0,4519.33
69,57842.53,5.12,124.01,13.1,4654.8
48,41394.5,5.55,90.74,6.4,3329.27
27,49634.68,7.72,91.77,8.15,4032.25
36,82134.06,2.38,123.08,9.86,6552.44
49,75913.15,0.0,62.61,4.45,6108.66
18,56544.86,5.37,92.23,9.81,4554.61
22,50570.05,8.6,103.81,11.18,4105.16
62,51800.47,7.48,108.98,10.16,4181.83
21,59202.77,5.42,89.8,13.68,4828.93
33,34658.11,4.02,100.69,9.87,2807.97
41,46139.35,6.61,50.23,12.17,3740.28
33,24971.24,3.05,86.84,4.37,2037.77
19,55988.35,5.95,109.07,8.57,4544.8
66,59707.94,6.01,80.35,3.94,4810.21
45,42752.2,7.12,101.18,9.01,3485.63
49,73609.8,10.52,108.94,16.07,6031.85
44,31613.52,5.78,93.15,10.29,2619.99
37,28034.38,3.98,103.41,7.47,2253.77
41,53366.78,4.95,80.75,9.29,4344.54
29,65706.47,1.46,95.87,5.89,5270.29
67,75258.92,3.61,112.2,8.55,6038.06
52,43116.74,4.18,103.14,9.61,3440.83
50,66180.21,3.95,88.27,5.42,5307.39
50,49422.37,5.3,104.48,9.83,3973.1
68,47410.59,3.36,114.29,8.93,3814.76
60,63254.9,7.24,59.0,10.06,5142.23
54,59784.84,5.0,123.18,10.58,4769.07
29,26354.12,4.98,93.27,14.54,2168.86
20,72148.11,4.34,108.51,9.83,5835.98
18,70701.37,5.31,123.94,11.62,5703.52
50,40616.56,6.65,72.57,8.56,3316.03
57,55937.05,3.27,85.81,7.94,4497.7
27,57410.45,3.68,94.23,9.78,4636.71
60,53910.11,4.39,84.32,8.72,4333.39
61,41745.42,2.31,134.7,4.23,3295.55
46,39925.65,3.36,82.86,7.92,3194.41
30,49616.69,4.05,88.89,11.75,4029.49
29,67590.94,6.75,104.09,12.45,5473.29
48,58154.0,5.53,75.96,11.65,4701.91
63,44440.79,5.39,92.09,8.28,3575.59
19,61575.48,6.7,106.35,13.14,4991.56
68,15000.0,4.73,93.34,7.75,1239.98
67,67231.49,5.78,98.13,7.73,5398.31
